# planning/fidelity/insights.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. present, divergent, absent and unclassified are computed by
# scripts/acceptance/mock_fidelity.py from the two artifacts on every run, which is what makes
# `present` earned by measuring rather than asserted. An affordance with no line becomes `absent`,
# which is a finding — deleting a line hides nothing.
#
# A citation is external and PRE-EXISTING. EVERY ONE OPENS WITH `Dn · `, naming the divergence in
# insights.layers.json this row's finding falls under.
#
#   node = -            the affordance has no counterpart in the build
#   affordance = +path  a build node with no counterpart in the mock, cited
#
# THE FACT THAT DECIDES MOST OF THIS FILE: three of the mock's four frames are about the session
# analyst, and this product has no analyst in any form (PRD.md §6 specifies one, nothing in
# app/Sources implements it). So the mock's v-loading is the analyst running, its v-error is the
# analyst falling back, and a third of its v-ideal is the analyst's configuration — none of which
# the build can answer without inventing the subsystem. See D1 and D5.

ideal	v-ideal/heading/insights	insights.ideal/board-column/board-head/board-title
ideal	v-ideal/sentence/what-your-agents-actually-used-and-what-the-anal	insights.ideal/board-column/board-head/board-subtitle
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-claudeCode/bar-track-claudeCode/bar-fill-claudeCode	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-claudeCode/bar-value-claudeCode	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-grokCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-grokCLI/bar-label-grokCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-grokCLI/bar-track-grokCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-grokCLI/bar-track-grokCLI/bar-fill-grokCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-grokCLI/bar-value-grokCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-geminiCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-geminiCLI/bar-label-geminiCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-geminiCLI/bar-track-geminiCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-geminiCLI/bar-track-geminiCLI/bar-fill-geminiCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-geminiCLI/bar-value-geminiCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-cursor	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-cursor/bar-label-cursor	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-cursor/bar-track-cursor	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-cursor/bar-value-cursor	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-codexCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-codexCLI/bar-label-codexCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-codexCLI/bar-track-codexCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-codexCLI/bar-value-codexCLI	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-other	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-other/bar-label-other	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-other/bar-track-other	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-other/bar-track-other/bar-fill-other	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-by-harness-block/harness-bars/bar-other/bar-value-other	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-obscura	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-obscura/bar-label-duty-obscura	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-obscura/bar-track-duty-obscura	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-obscura/bar-track-duty-obscura/bar-fill-duty-obscura	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-obscura/bar-value-duty-obscura	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-dossier	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-dossier/bar-label-duty-dossier	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-dossier/bar-track-duty-dossier	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-dossier/bar-track-duty-dossier/bar-fill-duty-dossier	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-dossier/bar-value-duty-dossier	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-google-search	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-google-search/bar-label-duty-google-search	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-google-search/bar-track-duty-google-search	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-google-search/bar-track-duty-google-search/bar-fill-duty-google-search	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-google-search/bar-value-duty-google-search	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-ref-tools-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-ref-tools-mcp/bar-label-duty-ref-tools-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-ref-tools-mcp/bar-track-duty-ref-tools-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-ref-tools-mcp/bar-track-duty-ref-tools-mcp/bar-fill-duty-ref-tools-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-ref-tools-mcp/bar-value-duty-ref-tools-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-docker-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-docker-mcp/bar-label-duty-docker-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-docker-mcp/bar-track-duty-docker-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
ideal	+insights.ideal/board-column/insights-populated/section-duty-block/duty-bars/bar-duty-docker-mcp/bar-track-duty-docker-mcp/bar-fill-duty-docker-mcp	-	D6 · planning/fidelity/insights.layers.json §6 — the mock draws each chart as a single card, so its census has no affordance per bar; the build draws a labelled node per row, which is the brief's own acceptance criterion and the reason a zero row is visible at all
